epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,1.1136,0.62685,1.0154,0.89392,0.83868,0.91025,0.59374,1.2557,0.842,1.4735,0.0007526,0.0007526,0.0007526
66,1.0954,0.61492,0.99861,0.89349,0.8381,0.90668,0.59412,1.2413,0.89481,1.4711,0.0007328,0.0007328,0.0007328
67,1.0948,0.62112,1.0119,0.91624,0.87226,0.9242,0.61457,1.2506,0.69508,1.4319,0.000713,0.000713,0.000713
68,1.0996,0.62508,1.0162,0.8861,0.86893,0.91341,0.59915,1.2194,0.76917,1.4066,0.0006932,0.0006932,0.0006932
69,1.0902,0.62348,1.0075,0.9168,0.83833,0.9042,0.59083,1.272,0.85498,1.4782,0.0006734,0.0006734,0.0006734
70,1.0713,0.60302,0.99443,0.9015,0.86801,0.919,0.60408,1.2762,0.82696,1.4797,0.0006536,0.0006536,0.0006536
71,1.0904,0.61848,1.0005,0.89455,0.87443,0.92245,0.58772,1.2927,0.83467,1.5072,0.0006338,0.0006338,0.0006338
72,1.1278,0.62573,1.0204,0.90792,0.86759,0.92134,0.59359,1.2708,0.78079,1.4578,0.000614,0.000614,0.000614
73,1.068,0.59347,0.99043,0.897,0.86434,0.92641,0.61535,1.2123,0.77746,1.4322,0.0005942,0.0005942,0.0005942
74,1.0484,0.58399,0.98535,0.90482,0.86268,0.92451,0.61529,1.2182,0.7856,1.4216,0.0005744,0.0005744,0.0005744
75,1.0799,0.60204,1.0057,0.91339,0.85518,0.92133,0.60319,1.2568,0.77769,1.4607,0.0005546,0.0005546,0.0005546
76,1.0703,0.59168,0.99137,0.91426,0.86159,0.9261,0.61716,1.2301,0.71231,1.4411,0.0005348,0.0005348,0.0005348
77,1.0591,0.59053,0.98953,0.91009,0.86709,0.92444,0.62044,1.2232,0.82239,1.435,0.000515,0.000515,0.000515
78,1.0631,0.5892,0.99621,0.90584,0.88451,0.93598,0.62443,1.1958,0.71792,1.403,0.0004952,0.0004952,0.0004952
79,1.0414,0.58313,0.98734,0.90247,0.84693,0.93048,0.6261,1.2141,0.75438,1.4738,0.0004754,0.0004754,0.0004754
80,1.0495,0.5838,0.99692,0.90301,0.87041,0.92459,0.61745,1.2263,0.72281,1.4568,0.0004556,0.0004556,0.0004556
81,1.0442,0.5768,0.98716,0.90917,0.85325,0.92035,0.61158,1.2699,0.75443,1.5236,0.0004358,0.0004358,0.0004358
82,1.0546,0.57991,0.98247,0.90842,0.86618,0.92655,0.61565,1.2701,0.71994,1.5544,0.000416,0.000416,0.000416
83,1.0315,0.56999,0.9874,0.90672,0.86343,0.92393,0.62287,1.2592,0.75675,1.5252,0.0003962,0.0003962,0.0003962
84,1.0341,0.5778,0.98712,0.90814,0.87076,0.92439,0.62101,1.2523,0.70509,1.5376,0.0003764,0.0003764,0.0003764
85,1.0152,0.56133,0.97491,0.91878,0.86893,0.92951,0.62829,1.2502,0.72731,1.5235,0.0003566,0.0003566,0.0003566
86,1.0254,0.56688,0.98209,0.90997,0.87083,0.92945,0.62606,1.2242,0.70855,1.4829,0.0003368,0.0003368,0.0003368
87,1.0141,0.55379,0.97343,0.90541,0.87534,0.93127,0.62225,1.2497,0.74383,1.5347,0.000317,0.000317,0.000317
88,1.0079,0.5563,0.98013,0.90604,0.87259,0.92757,0.62675,1.1896,0.74364,1.4516,0.0002972,0.0002972,0.0002972
89,1.0114,0.55461,0.97054,0.92317,0.86251,0.92768,0.62554,1.1903,0.71183,1.4216,0.0002774,0.0002774,0.0002774
90,0.99714,0.54967,0.96758,0.91966,0.86434,0.92542,0.62711,1.1828,0.73001,1.4399,0.0002576,0.0002576,0.0002576
91,0.98023,0.51146,0.96082,0.89542,0.87259,0.92274,0.60996,1.2376,0.73701,1.5016,0.0002378,0.0002378,0.0002378
92,0.95786,0.49296,0.9522,0.90126,0.87012,0.93073,0.61848,1.1912,0.65728,1.4227,0.000218,0.000218,0.000218
93,0.96744,0.49062,0.95477,0.9005,0.87993,0.9322,0.62374,1.1877,0.65148,1.4216,0.0001982,0.0001982,0.0001982
94,0.94813,0.48503,0.95519,0.90234,0.87901,0.92618,0.6219,1.2091,0.67284,1.4512,0.0001784,0.0001784,0.0001784
95,0.94173,0.47825,0.94803,0.92227,0.86618,0.93199,0.62935,1.1794,0.69489,1.4334,0.0001586,0.0001586,0.0001586
96,0.93741,0.47664,0.94137,0.90597,0.88311,0.93618,0.63325,1.1844,0.69182,1.4536,0.0001388,0.0001388,0.0001388
97,0.93799,0.47534,0.94157,0.90953,0.87544,0.92854,0.62451,1.198,0.66928,1.4497,0.000119,0.000119,0.000119
98,0.93785,0.47813,0.93988,0.92133,0.86709,0.93339,0.63201,1.1611,0.68051,1.4081,9.92e-05,9.92e-05,9.92e-05
99,0.92673,0.47145,0.93911,0.90076,0.8819,0.92809,0.62539,1.1848,0.68418,1.4539,7.94e-05,7.94e-05,7.94e-05
100,0.91179,0.46734,0.93738,0.91724,0.86343,0.9263,0.62265,1.1737,0.70061,1.4436,5.96e-05,5.96e-05,5.96e-05
